날짜,매수 종목수,매도 종목수,남은 종목수,일일수익률,누적수익률,총자산,남은 현금
20170126,4,1,3,-0.55,6.94,10693640,3005340
20170131,1,3,1,2.21,9.3,10930437,8219152
20170201,0,1,0,-0.06,9.24,10924336,10924336
20170202,3,1,2,1.68,11.08,11107536,5763776
20170203,0,2,0,0.14,11.23,11122735,11122735
20170206,3,0,3,0.74,12.05,11204985,2875160
20170207,1,2,2,-0.45,11.55,11154878,5729828
20170208,2,1,3,-2.04,9.28,10927677,3186502
20170209,0,3,0,0.97,10.34,11034016,11034016
20170210,4,2,2,4.2,14.98,11497752,6051552
20170213,0,2,0,-0.45,14.46,11446175,11446175
20170214,3,0,3,0.8,15.38,11537910,2982775
20170215,1,2,2,-1.46,13.7,11369761,5830916
20170216,2,2,2,2.43,16.46,11645577,6029857
20170217,2,1,3,-3.49,12.4,11239651,3079243
20170220,1,2,2,2.07,14.72,11472109,5749205
20170221,2,2,2,0.44,15.23,11522669,5855954
20170222,2,2,2,1.49,16.94,11693909,5879457
20170223,1,3,0,2.43,19.78,11978167,11978167
20170224,3,0,3,-0.11,19.65,11965137,3096712
20170227,1,3,1,1.95,21.99,12199035,9262209
20170228,0,0,1,-0.3,21.62,12162477,9262209
20170302,0,0,1,-0.27,21.3,12129981,9262209
20170303,2,1,2,1.02,22.53,12253232,6182822
20170306,0,2,0,-0.32,22.14,12214200,12214200
20170307,0,0,0,0,22.14,12214200,12214200
20170308,3,1,2,3,25.8,12580077,6400277
20170309,2,2,2,-0.6,25.04,12504196,6590876
20170310,2,2,2,4.03,30.09,13008504,6914229
20170313,2,4,0,3.28,34.35,13435367,13435367
20170314,3,2,1,4.8,40.81,14080843,10614503
20170315,3,1,3,0.7,41.79,14179413,3707309
20170316,1,4,0,3.49,46.74,14674488,14674488
20170317,3,0,3,-1.21,44.97,14496696,3846192
20170320,1,3,1,1.17,46.66,14666022,11012838
20170321,3,1,3,0.08,46.78,14678215,3812933
20170322,1,2,2,-1.84,44.08,14408215,7571059
20170323,1,1,2,1.83,46.72,14671656,7450856
20170324,2,4,0,3.88,52.4,15240213,15240213
20170327,2,0,2,-0.47,51.68,15168113,7701933
20170328,2,3,1,2.09,54.85,15485452,11925952
20170329,2,0,3,3.11,59.67,15967372,4265882
20170330,1,3,1,0.76,60.88,16088244,11995242
20170331,2,2,1,1.67,63.56,16356270,12435573
20170403,2,1,2,0.9,65.04,16503842,8263172
20170404,2,1,3,-9.97,48.58,14857632,3424102
20170405,0,3,0,2.87,52.84,15283615,15283615
20170406,3,1,2,3.42,58.07,15806543,8008673
20170407,2,2,2,1.01,59.66,15965712,8270492
20170410,1,1,2,3.24,64.84,16483767,8701087
20170411,0,2,0,1.26,66.92,16692056,16692056
20170412,0,0,0,0,66.92,16692056,16692056
20170413,4,1,3,2.61,71.28,17127957,4650517
20170414,1,3,1,1.21,73.35,17335450,13063450
20170417,2,1,2,0.72,74.59,17459478,8800902
20170418,2,3,1,1.54,77.29,17728784,13534224
20170419,2,2,1,1.6,80.13,18012674,13729924
20170420,2,0,3,-2.29,76.01,17600764,4873924
20170421,1,3,1,1.12,77.97,17797265,13585915
20170424,3,1,3,-1.21,75.83,17582678,4662558
20170425,0,2,1,0.81,77.25,17724757,13444257
20170426,3,1,3,0.06,77.36,17735701,4683961
20170427,1,2,2,-0.21,76.98,17697752,9014412
20170428,2,2,2,-1.43,74.45,17444686,8896216
20170502,1,2,1,0.56,75.43,17542674,13272674
20170504,1,1,1,0.47,76.25,17625418,13226668
20170508,2,1,2,4.02,83.33,18333479,9697409
20170510,2,2,2,1.87,86.76,18675687,9801117
20170511,1,3,0,1.56,89.66,18966259,18966259
20170512,4,1,3,1.88,93.23,19322652,5267722
20170515,1,1,3,-0.45,92.35,19235091,5173861
20170516,1,3,1,-0.39,91.59,19159119,14368319
20170517,2,1,2,0.69,92.91,19290722,9795824
20170518,2,2,2,0.88,94.6,19459952,9874362
20170519,1,2,1,0.54,95.64,19564362,14818880
20170522,2,1,2,-0.92,93.84,19384061,10042821
20170523,2,2,2,-1.43,91.07,19106800,9978110
20170524,2,1,3,-1.05,89.06,18905662,5291296
20170525,1,2,2,-1.14,86.9,18690141,9906384
20170526,2,3,1,3.23,92.94,19294315,14624979
20170529,3,1,3,-0.13,92.7,19270053,5212113
20170530,1,1,3,-3.19,86.55,18654745,5723165
20170531,1,3,1,-0.96,84.76,18475963,13980423
20170601,2,2,1,3.21,90.69,19068838,14320038
20170602,3,2,2,1.97,94.44,19443925,9935785
20170605,2,1,3,-1.41,91.71,19170729,5191374
20170607,1,3,1,3.35,98.14,19813887,14985687
20170608,2,1,2,1.59,101.28,20128297,10488287
20170609,2,2,2,1.01,103.31,20330815,10130583
20170612,1,3,0,1.56,106.48,20648492,20648492
20170613,3,1,2,2.6,111.86,21185644,10818679
20170614,1,1,2,-1.66,108.34,20833612,10838342
20170615,2,1,3,-0.81,106.65,20665245,5747707
20170616,1,3,1,2.13,111.06,21105547,16015347
20170619,1,1,1,-0.23,110.57,21056546,15846206
20170620,1,1,1,2.67,116.19,21619096,16167696
20170621,2,2,1,1.88,120.25,22025182,16976632
20170622,0,1,0,0.78,121.98,22197749,22197749
20170623,2,0,2,-0.48,120.92,22092129,11213119
20170626,2,1,3,-1.59,117.41,21740585,5877032
20170627,1,2,2,0.13,117.7,21769899,11651859
20170628,2,3,1,1.46,120.89,22088797,16999277
20170629,2,2,1,3.33,128.25,22824650,17293850
20170630,3,1,3,0.16,128.62,22861552,5964930
20170703,1,3,1,1.05,131.01,23101211,17344511
20170704,3,1,4,-3.48,122.98,22297943,281083
20170705,0,3,1,2.38,128.28,22827795,17411175
20170706,3,2,2,3.22,135.62,23561918,12112514
